structure_number,nbi_year,state,county,latitude,longitude,year_built,material_code,material,design_code,design_type,num_spans,structure_length_m,deck_width_m,condition_rating,hwb_class,deck_area_m2,design_era
52C0118,2024,6,111,34.26373888888889,-118.73652222222222,1968,4,steel,5,other,2,39.0,19.5,7.0,HWB10,760.5,conventional
52C0119,2024,6,111,34.28613611111111,-118.69730833333334,1935,1,concrete,0,other,3,9.1,19.5,,HWB7,177.45,conventional
52C0120,2024,6,111,34.28621944444444,-118.72390833333334,1979,1,concrete,5,other,1,9.1,19.5,,HWB4,177.45,seismic
52C0123,2024,6,111,34.265322222222224,-118.74774722222222,1966,2,concrete,5,other,3,46.6,19.5,7.0,HWB5,908.7,conventional
52C0124,2024,6,111,34.256747222222224,-118.76107777777776,1965,1,concrete,0,other,2,6.7,7.0,,HWB7,46.9,conventional
52C0125,2024,6,111,34.26645277777778,-118.761275,1966,4,steel,5,other,3,32.3,19.5,7.0,HWB10,629.8499999999999,conventional
52C0141,2024,6,111,34.18021944444444,-118.87601111111113,1939,2,concrete,2,other,6,30.2,25.6,7.0,HWB5,773.12,conventional
52C0148,2024,6,111,34.27005555555556,-118.77868055555555,1971,2,concrete,5,other,2,48.5,22.6,4.0,HWB5,1096.1,conventional
52C0150,2024,6,111,34.28053333333333,-118.79588055555556,1981,2,concrete,5,other,3,50.3,21.9,4.0,HWB6,1101.57,seismic
52C0169,2024,6,111,34.17073055555555,-118.76275277777778,1975,3,steel,4,other,1,10.7,12.2,,HWB16,130.54,seismic
52C0171,2024,6,111,34.26086111111111,-118.66059444444446,1974,5,prestressed_concrete,5,other,3,29.0,12.5,7.0,HWB7,362.5,conventional
52C0174,2024,6,111,34.479258333333334,-118.7707638888889,1955,3,steel,3,other,1,12.8,6.1,5.0,HWB15,78.08,conventional
52C0175,2024,6,111,34.394619444444444,-118.79863888888887,1974,2,concrete,5,other,2,18.6,7.3,7.0,HWB5,135.78,conventional
52C0204,2024,6,111,34.27769166666666,-118.7962388888889,1979,5,prestressed_concrete,5,other,1,41.1,18.6,4.0,HWB4,764.46,seismic
52C0206,2024,6,111,34.27159722222222,-118.780725,1956,2,concrete,5,other,3,47.5,20.7,7.0,HWB5,983.25,conventional
52C0225,2024,6,111,34.25711944444444,-118.7445,1962,1,concrete,0,other,2,6.7,19.5,,HWB7,130.65,conventional
52C0226,2024,6,111,34.2968,-118.721125,1979,1,concrete,5,other,1,10.4,19.3,,HWB4,200.72000000000003,seismic
52C0227,2024,6,111,34.29338055555555,-118.72091666666668,1979,1,concrete,5,other,1,9.8,9.1,,HWB4,89.18,seismic
52C0228,2024,6,111,34.28977222222222,-118.72262777777776,1979,1,concrete,5,other,1,15.2,12.2,,HWB4,185.44,seismic
52C0229,2024,6,111,34.28044722222222,-118.73040555555556,1965,1,concrete,0,other,2,9.8,19.5,,HWB7,191.1,conventional
52C0231,2024,6,111,34.282552777777774,-118.69941666666666,1946,1,concrete,0,other,1,8.5,6.7,7.0,HWB3,56.95,conventional
